K                               1         0.0000000000      0.3800000000      0.3800000000      0.7500000000
G                             101         1.5919931095      0.0000000000      0.0000000000      0.0000000000
X                             195         3.0928719031      0.5000000000      0.0000000000      0.5000000000
W                             242         3.8433112998      0.5000000000      0.2500000000      0.7500000000
L                             309         4.9045928725      0.5000000000      0.5000000000      0.5000000000
G                             391         6.2043920357      0.0000000000      0.0000000000      0.0000000000
