 it |         mu | G(beta/2) per orbital |  orbital occs up+down |      impurity occ
  0 |   12.79717 |              -0.32562 |               0.99991 |           0.99991
  1 |   12.79717 |              -0.15033 |               0.98738 |           0.98738
  2 |   12.86913 |              -0.12616 |               0.99705 |           0.99705
  3 |   12.88111 |              -0.11438 |               0.99880 |           0.99880
  4 |   12.88565 |              -0.10803 |               0.99803 |           0.99803
  5 |   12.89143 |              -0.10933 |               0.99555 |           0.99555
  6 |   12.90303 |              -0.10266 |               0.99903 |           0.99903
  7 |   12.90516 |              -0.10444 |               0.99978 |           0.99978
  8 |   12.90570 |              -0.10378 |               0.99917 |           0.99917
  9 |   12.90792 |              -0.10313 |               0.99929 |           0.99929
 10 |   12.90977 |              -0.10260 |               0.99940 |           0.99940
