 it |          δμ |              δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ 
  1 | 0.00000e+00 |            1.25300e-02 | 1.25300e-02 | 2.13305e-01 | 3.11669e-01 | 8.29792e-01
  2 | 7.19603e-02 |            9.66502e-03 | 9.66502e-03 | 3.39769e-02 | 1.10713e-02 | 1.45094e-01
  3 | 1.19701e-02 |            1.75434e-03 | 1.75434e-03 | 1.36381e-02 | 3.64989e-03 | 6.11704e-02
  4 | 4.54656e-03 |            7.72095e-04 | 7.72095e-04 | 6.71863e-03 | 1.69707e-03 | 4.36199e-02
  5 | 5.77470e-03 |            2.47663e-03 | 2.47663e-03 | 3.40652e-03 | 9.99918e-04 | 3.67158e-02
  6 | 1.16037e-02 |            3.47456e-03 | 3.47456e-03 | 2.20196e-03 | 1.31692e-03 | 2.99622e-02
  7 | 2.12694e-03 |            7.50520e-04 | 7.50520e-04 | 1.65529e-03 | 4.16916e-04 | 1.69066e-02
  8 | 5.40837e-04 |            6.10992e-04 | 6.10992e-04 | 1.01621e-03 | 2.30788e-04 | 8.84340e-03
  9 | 2.22601e-03 |            1.16274e-04 | 1.16274e-04 | 6.06988e-04 | 2.69067e-04 | 8.32937e-03
 10 | 1.84254e-03 |            1.13960e-04 | 1.13960e-04 | 4.03599e-04 | 2.25512e-04 | 8.38992e-03
